exp,id,age,gender,cn_cd_pn_pd,pattern_type
exp1,1,19,female,+-+-,not-sensitive
exp2,1,19,male,+++-,sensitive
exp1,2,18,female,--++,not-sensitive
exp2,2,20,female,++++,not-sensitive
exp1,3,20,female,+-++,not-sensitive
exp2,3,20,female,+-.+,not-sensitive
exp1,4,18,male,++++,not-sensitive
exp2,4,20,female,+++.,sensitive
exp2,5,18,female,+++-,sensitive
exp1,6,20,female,+++-,sensitive
exp2,6,20,female,+++-,sensitive
exp1,7,19,female,++--,not-sensitive
exp2,7,18,female,+-++,not-sensitive
exp1,8,19,male,----,not-sensitive
exp2,8,22,male,.--.,not-sensitive
exp1,9,18,male,+-+-,not-sensitive
exp2,9,24,male,+++.,sensitive
exp1,10,20,male,+++-,sensitive
exp2,10,42,female,++.-,sensitive
exp1,11,20,male,----,not-sensitive
exp2,11,18,female,+++-,sensitive
exp1,12,20,male,....,....
exp2,12,22,male,+++-,sensitive
exp1,13,25,female,+-+.,not-sensitive
exp2,13,19,female,.+-.,not-sensitive
exp1,14,18,female,+++-,sensitive
exp2,14,31,male,++++,not-sensitive
exp1,15,18,female,+++-,sensitive
exp2,15,21,female,+++-,sensitive
exp1,16,21,female,+++-,sensitive
exp2,16,19,female,++.-,sensitive
exp1,17,18,female,+-+-,not-sensitive
exp2,17,23,female,++.-,sensitive
exp1,18,18,female,++--,not-sensitive
exp2,18,18,female,.-+.,not-sensitive
exp1,19,17,male,+-+-,not-sensitive
exp2,19,18,female,---+,not-sensitive
exp1,20,20,female,+---,not-sensitive
exp2,20,21,female,++++,not-sensitive
exp1,21,18,male,+++-,sensitive
exp2,21,19,male,-.+-,not-sensitive
exp1,22,18,male,+++-,sensitive
exp2,22,19,female,.+++,not-sensitive
exp1,23,18,female,+-+-,not-sensitive
exp2,23,20,female,+---,not-sensitive
exp1,24,19,male,++--,not-sensitive
exp2,24,18,male,.-.-,not-sensitive
exp1,25,19,male,+-+-,not-sensitive
exp2,25,24,female,++.-,sensitive
exp1,26,18,female,++++,not-sensitive
exp2,26,21,male,+.--,not-sensitive
exp1,27,19,male,+.+-,sensitive
exp2,27,19,female,+.+.,sensitive
exp1,28,19,male,+.++,not-sensitive
exp2,28,19,female,++++,not-sensitive
exp1,29,19,female,+++-,sensitive
exp2,29,26,male,--+-,not-sensitive
exp1,30,18,female,+---,not-sensitive
exp2,30,20,female,+-+-,not-sensitive
exp1,31,18,female,+-+-,not-sensitive
exp2,31,21,female,+.+-,sensitive
exp1,32,25,female,++-.,not-sensitive
exp2,32,59,female,++--,not-sensitive
exp1,33,18,male,++-+,not-sensitive
exp2,33,24,male,++++,not-sensitive
exp1,34,20,female,+++-,sensitive
exp2,34,21,female,++-+,not-sensitive
exp1,35,20,male,+++-,sensitive
exp2,35,20,female,++++,not-sensitive
exp1,36,20,female,+++-,sensitive
exp2,36,18,male,.---,not-sensitive
exp1,37,18,female,+++-,sensitive
exp2,37,18,male,+++-,sensitive
exp1,38,21,female,-.+.,not-sensitive
exp2,38,19,male,++--,not-sensitive
exp1,39,18,female,+-+-,not-sensitive
exp2,39,18,female,.+-.,not-sensitive
exp1,40,18,female,++--,not-sensitive
exp2,40,19,male,+.+-,sensitive
exp1,41,19,female,++--,not-sensitive
exp2,41,23,female,++--,not-sensitive
exp1,42,18,female,++-.,not-sensitive
exp2,42,20,male,++--,not-sensitive
exp1,43,18,female,+-+-,not-sensitive
exp2,43,19,male,+--+,not-sensitive
exp1,44,18,male,+++-,sensitive
exp2,44,17,female,+--.,not-sensitive
exp1,45,18,female,+++-,sensitive
exp2,45,19,female,+---,not-sensitive
exp1,46,18,female,+.+.,sensitive
exp2,46,21,female,...-,sensitive
exp1,47,18,female,+-+-,not-sensitive
exp2,47,19,male,++++,not-sensitive
exp1,48,18,female,+-++,not-sensitive
exp2,48,21,female,+---,not-sensitive
exp1,49,18,female,+++-,sensitive
exp2,49,19,female,++++,not-sensitive
exp1,50,20,female,++--,not-sensitive
exp2,50,18,male,++-+,not-sensitive
exp2,51,21,female,+++-,sensitive
exp2,52,23,female,++--,not-sensitive
exp2,53,18,female,+.+-,sensitive
exp2,54,20,female,--++,not-sensitive
exp2,55,19,female,.+--,not-sensitive
exp2,56,22,male,+++-,sensitive
exp2,57,19,female,-.-.,not-sensitive
exp2,58,18,female,+-++,not-sensitive
exp2,59,21,female,----,not-sensitive
exp2,60,18,female,++++,not-sensitive
exp2,61,20,female,+++-,sensitive
exp1,85,20,male,++++,not-sensitive
exp1,86,19,female,+++-,sensitive
exp1,87,19,female,----,not-sensitive
exp1,88,19,female,+.--,not-sensitive
exp1,89,18,female,+.+-,sensitive
exp1,90,19,female,+++.,sensitive
exp1,91,18,female,+++-,sensitive
exp1,92,18,female,++--,not-sensitive
exp1,93,30,female,+-+-,not-sensitive
exp1,94,18,female,+++-,sensitive
exp1,95,18,female,++++,not-sensitive
exp1,96,18,female,+-+-,not-sensitive
