ID,AGE,GENDER
1,19,Female
2,18,Female
3,20,Female
4,18,Male
6,20,Female
7,19,Female
8,19,Male
9,18,Male
10,20,Male
11,20,Male
12,20,Male
13,25,Female
14,18,Female
15,18,Female
16,21,Female
17,18,Female
18,18,Female
19,17,Male
20,20,Female
21,18,Male
22,18,Male
23,18,Female
24,19,Male
25,19,Male
26,18,Female
27,19,Male
28,19,Male
29,19,Female
30,18,Female
31,18,Female
32,25,Female
33,18,Male
34,20,Female
35,20,Male
36,20,Female
37,18,Female
38,21,Female
39,18,Female
40,18,Female
41,19,Female
42,18,Female
43,18,Female
44,18,Male
45,18,Female
46,18,Female
47,18,Female
48,18,Female
49,18,Female
50,20,Female
85,20,Male
86,19,Female
87,19,Female
88,19,Female
89,18,Female
90,19,Female
91,18,Female
92,18,Female
93,30,Female
94,18,Female
95,18,Female
96,18,Female
