ID,MU_%,MU_zscore,OS_%,OS_,CRT
1,19.66666667,-1.636256916,0,0,0
2,77.77777778,0.742377204,0,0,0
3,66.11111111,0.264831157,74.76190476,0.306841243,2
4,76.77777778,0.701444686,79.05555556,0.617871165,3
5,53.11111111,-0.267291581,78.05555556,0.545431664,1
6,87.33333333,1.133510157,66.96031746,-0.25830185,2
7,77.44444444,0.728733031,81.27777778,0.778847835,1
8,82.11111111,0.91975145,90.0952381,1.417580262,3
9,50.77777778,-0.362800791,83.71428571,0.955347255,2
10,47.66666667,-0.490146403,74.67460317,0.30051716,0
11,71.77777778,0.496782094,79.75396825,0.668463833,3
12,83.66666667,0.983424256,85.42857143,1.079529257,3
13,79.55555556,0.815146125,72,0.10677024,0
14,94.66666667,1.433681958,0,0,0
15,47.33333333,-0.503790576,64.84920635,-0.411229686,0
16,77.33333333,0.724184974,70.15873016,-0.026610429,3
17,76.77777778,0.701444686,79.28571429,0.634543749,1
18,18.66666667,-1.677189435,37.34920635,-2.40331597,1
19,37.88888889,-0.890375471,59.56349206,-0.794124192,0
20,83.55555556,0.978876199,74.13492063,0.261422826,3
21,77.11111111,0.715088858,70.1031746,-0.030634846,1
22,25.11111111,-1.413402094,72.77777778,0.163112074,1
23,35.33333333,-0.994980796,64.37301587,-0.445724686,1
24,81.77777778,0.906107277,91.16666667,1.495194014,3
25,92.33333333,1.338172748,90.07936508,1.416430429,3
26,88.44444444,1.178990733,88.85714286,1.327893261,0
27,83.11111111,0.960683968,73.76984127,0.234976659,2
28,55,-0.189974602,65.11904762,-0.391682519,0
29,79.22222222,0.801501953,69.65079365,-0.063405096,1
30,36.88888889,-0.93130799,69.33333333,-0.086401763,0
31,68,0.342148136,84.04761905,0.979493755,0
32,20.22222222,-1.613516628,60.34920635,-0.737207441,0
33,52.44444444,-0.294579927,70.23809524,-0.020861262,1
34,59.33333333,-0.012600356,80.61904762,0.731129751,1
35,58.66666667,-0.039888702,75.82539683,0.383880078,1
36,77,0.710540801,68.78571429,-0.126071014,3
37,28,-1.295152597,73.26984127,0.198756908,2
38,50.11111111,-0.390089136,84.52380952,1.013988756,1
39,87.66666667,1.14715433,78.32539683,0.564978831,2
40,66.77777778,0.292119502,72.42857143,0.13781574,3
41,50.11111111,-0.390089136,74.48412698,0.28671916,2
42,69.55555556,0.405820942,76.82539683,0.456319579,3
43,59.22222222,-0.017148414,77.93650794,0.536807914,1
44,40.44444444,-0.785770147,56,-1.05226178,0
45,23.66666667,-1.472526843,38.72222222,-2.303855385,0
46,20.55555556,-1.599872456,22.1031746,-3.507730906,0
47,69.33333333,0.396724827,65.73809524,-0.346839018,3
48,7.666666667,-2.127447136,0,0,0
49,42.66666667,-0.694808995,52.32539683,-1.318448201,1
50,52.22222222,-0.303676042,60.94444444,-0.69408869,1
51,28.22222222,-1.286056482,41.97619048,-2.068139547,1
52,81.33333333,0.887915047,87.26190476,1.212335009,2
53,80,0.833338356,62.6031746,-0.573931105,2
54,8.333333333,-2.100158791,50.72222222,-1.43458137,0
55,87.33333333,1.133510157,66.42857143,-0.296821267,2
56,89.66666667,1.229019366,81.98412698,0.830015419,3
57,80.77777778,0.865174759,77.6984127,0.519560414,2
58,78.55555556,0.774213607,77.02380952,0.470692496,2
59,14.11111111,-1.863659796,61.84126984,-0.629123106,3
60,46.11111111,-0.55381921,0,0,2
61,75.66666667,0.65596411,62.07936508,-0.611875606,0
